"X1","X2","X3","X4","X5","X6","X7","X8","X9"
56.15,36.022,2,1.945,2.461,0.805,2,0,3.392
62.73,86.378,2,2.273,2.478,1.254,5,0,3.311
86.52,117.437,2,2.031,2.679,1.198,6,1,6.435
20.23,42.683,1,-0.172,1.155,1.911,0,0,0.627
107.65,178.917,0,4.219,3.945,1.078,1,2,5.062
26.3,36.145,0,0.996,1.723,1.805,0,1,2.916
52.6,72.29,0,0.787,2.223,1.8,0,2,3.043
138.26,86.133,0,0.491,2.854,1.146,0,2,8.285
52.6,72.29,0,2.577,2.707,1.313,0,2,3.602
52.33,62.438,0,0.567,2.239,1.542,1,1,2.662
9.23,11,0,0.8,1.509,2.003,0,0,1.801
100.39,91.775,0,2.682,2.903,1.823,1,0,9.205
110.96,13.843,0,3.089,3.015,0.889,0,0,6.477
95.37,54.336,0,2.433,2.915,1.394,2,0,8.582
115.41,71.512,0,2.223,2.903,1.295,1,0,8.137
82.48,37.55,0,3.213,2.806,1.172,1,0,8.774
110.96,13.843,0,1.971,2.52,1.012,0,0,8.227
64.63,90.3,1,1.651,2.785,1.346,1,2,3.094
21.26,29.011,1,2.826,2.709,1.184,1,0,5.063
76.43,6.922,0,2.723,2.553,0.835,0,0,7.481
38.8,0,1,0.845,1.155,1.177,0,0,5.612
45.61,28.269,0,1.579,2.397,1.162,1,0,4.418
110.96,13.843,0,1.321,2.402,0.988,0,0,7.152
193.91,332.83,5,-0.139,4.73,1.551,1,1,3.196
180.08,310.81,5,0.143,4.805,1.597,2,1,3.751
182.91,301.147,4,0.036,4.758,1.584,1,1,4.508
49.41,71.18,1,4.761,3.537,1.147,2,2,4.344
26.02,32.897,2,2.193,2.056,0.992,1,0,6.082
12.89,16.786,0,1.533,2.056,1.203,1,0,3.519
77.82,99.365,4,3.048,2.813,0.791,4,0,4.576
74.57,147.153,2,1.789,3.373,1.175,3,1,3.429
23.55,31.394,0,0.16,1.7,2.092,2,0,1.653
58.56,75.965,0,1.648,2.689,1.675,4,0,7.084
38.57,6.249,0,0.59,1.7,1.19,2,0,2.209
61.35,36.022,2,-0.273,1.475,0.876,2,0,3.461
95.96,6.249,0,0.454,2.072,0.8,2,0,4.871
121.26,6.249,0,0.454,2.227,0.677,2,0,6.07
140.02,119.209,4,-0.812,2.478,0.926,3,0,7.34
36.6,20.263,0,1.354,1.89,2.073,3,0,1.401
181.62,324.873,7,-0.392,3.629,0.863,2,1,3.535
181.62,324.873,7,-0.875,3.595,0.945,2,1,6.37
3.24,3.124,0,2.193,2.048,1.241,1,0,4.384
61.35,36.022,2,1.628,2.231,0.75,2,0,3.272
111.56,99.4,2,0.658,3.426,1.189,4,0,2.68
16.13,19.91,0,1.272,2.473,1.256,2,0,4.598
75.01,128.306,1,1.146,3.505,1.232,3,1,3.711
63.87,6.249,0,0.198,1.975,0.858,2,0,5.428
83.67,84.184,1,0.349,2.397,2.092,1,1,5.723
114.76,56.999,1,-0.755,2.214,1.033,1,1,5.112
96.3,102.044,1,-0.463,2.434,1.256,3,2,5.067
93.21,118.087,1,-0.147,2.355,1.644,2,0,5.936
75.99,73.774,1,0.787,2.266,1.185,2,0,5.617
47.56,65.155,1,1.459,2.72,1.265,1,0,6.54
56.79,76.155,1,1.064,2.72,1.346,1,0,6.992
38.33,54.156,1,2.222,2.725,1.012,1,0,5.998
70.14,50.908,3,-0.792,1.401,0.647,2,0,4.006
47.36,21.135,1,0.18,1.627,1.051,2,0,2.259
73.58,63.842,2,0.894,3.136,1.388,3,0,3.056
12.03,18.011,1,1.859,1.989,1.062,1,0,5.827
20.23,42.683,1,-0.814,1,2.353,0,0,0.968
69.48,142.262,0,4.096,3.884,1.169,2,1,5.753
65.82,80.765,0,3.692,3.883,1.087,3,0,6.803
164.9,144.333,4,0.16,3.323,0.833,4,0,4.242
76.66,108.311,2,2.087,3.468,1.137,2,0,4.594
52.6,72.29,0,2.005,2.468,1.281,0,2,3.726
35.53,47.145,0,3.967,3.368,1.533,0,1,5.453
55.84,75.414,0,1.907,2.892,1.439,1,2,3.462
29.54,39.269,0,3.026,2.828,1.243,1,1,4.295
29.46,53.683,1,-0.081,1.577,1.952,0,0,0.498
35.53,47.145,0,0.538,1.952,1.928,0,1,2.537
38.69,64.683,1,0.224,2.108,1.904,0,0,1.929
65.57,76.79,1,0.489,1.999,1.533,0,0,7.756
90.51,65.67,1,-0.759,1.929,1.402,1,1,4.103
87.43,55.411,2,-1.222,1.575,1.362,1,0,6.644
115.41,71.512,0,1.919,2.72,1.291,1,0,7.676
115.41,71.512,0,1.602,2.687,1.288,1,0,7.283
133.44,75.193,0,0.906,3.034,0.941,3,1,7.949
9.23,11,0,4.19,2.225,0.58,0,0,7.01
29.46,53.683,1,3.028,2.225,0.548,0,0,6.193
29.46,53.683,1,2.736,2.183,0.62,0,0,5.542
100.87,112.494,0,3.275,2.661,1.243,2,0,5.577
29.46,53.683,1,2.736,2.187,0.62,0,0,5.426
35.25,43.897,2,1.246,2.056,1.081,1,0,5.516
41.57,57.28,1,1.838,2.611,1.175,2,0,3.157
96.31,77.727,1,1.126,3.536,1.157,3,0,3.64
35.25,43.897,2,1.246,2.046,1.081,1,0,5.64
29.46,53.683,1,1.246,2.046,1.114,0,0,3.461
9.23,11,0,1.859,1.989,1.164,0,0,3.376
35.25,43.897,2,1.246,2.031,1.081,1,0,4.005
29.46,53.683,1,1.246,2.031,1.114,0,0,3.648
75.74,93.694,3,2.195,4.365,1.086,2,0,5.106
94.89,20.765,0,2.492,2.659,1.194,0,0,6.789
88.03,86.378,2,3.185,2.93,1.13,5,0,4.549
102.02,101.265,3,2.273,2.459,1.086,5,0,4.33
0,0,0,3.562,2.031,1.15,0,0,5.447
0,0,0,3.259,1.975,1.111,0,0,4.53
20.23,42.683,1,2.193,1.975,1.02,0,0,4.819
0,0,0,2.942,1.924,1.063,0,0,3.546
103.35,161.259,2,2.401,3.053,0.798,1,0,4.126
0,0,0,3.562,2.119,1.15,0,0,4.239
0,0,0,3.21,1.924,0.788,0,0,5.007
20.23,42.683,1,1.859,1.924,0.949,0,0,3.631
12.89,16.786,0,2.66,2.408,0.976,1,0,3.62
0,0,0,3.677,2.344,0.868,0,0,4.952
28.24,0,0,3.169,2.238,0.711,0,0,4.047
0,0,0,2.942,1.918,1.063,0,0,3.611
26.02,32.897,2,1.859,1.918,0.917,1,0,5.171
20.23,42.683,1,1.859,1.918,0.949,0,0,3.833
45.82,50.747,0,2.241,2.108,0.942,1,0,3.9
0,0,0,3.677,2.324,0.868,0,0,4.978
0,0,0,2.942,1.908,1.063,0,0,3.743
20.23,42.683,1,1.859,1.908,0.949,0,0,3.873
84.32,125.108,2,0.139,2.748,1.267,2,1,2.371
28.24,0,0,3.169,2.224,0.711,0,0,4.754
0,0,0,2.459,1.475,1.5,0,0,3.94
0,0,0,1.672,1.225,0.562,0,0,3.263
35.53,47.145,0,4.579,3.875,0.927,0,1,8.06
17.07,25.145,0,1.442,1.509,1.157,0,1,2.577
0,0,0,3.291,1.549,2,0,0,4.952
0,0,0,2.957,1.509,0.533,0,0,4.156
0,0,0,2.604,1.475,0.505,0,0,3.5
0,44.88,0,2.419,1.509,0.731,0,0,3.941
0,0,0,6.166,2.959,0.57,0,0,8.281
0,0,0,2.226,1.265,2.5,0,0,3.673
0,0,0,1.817,1.225,0.502,0,0,3.228
0,0,0,3.558,1.978,1,0,0,6.808
12.53,11,0,4.452,2.862,0.543,0,0,6.457
60.98,61.404,0,3.429,2.749,1.08,0,0,5.234
12.53,11,0,4.214,2.687,0.504,0,0,6.184
0,0,0,5.124,2.515,0.456,0,0,6.752
0,0,0,5.469,2.573,0.465,0,0,6.679
0,0,0,2.081,1.401,0.501,0,0,3.588
0,0,0,1.672,1.334,0.562,0,0,2.592
0,0,0,2.604,1.559,0.664,0,0,3.673
0,0,0,2.604,1.43,0.505,0,0,3.849
0,0,0,2.226,1.401,0.826,0,0,3.352
12.53,11,0,0.408,1.689,1.038,0,0,3.614
0,0,0,2.081,1.509,0.685,0,0,4.279
0,0,0,1.817,1.334,0.718,0,0,2.453
18.46,22,0,1.466,2.15,1.22,0,0,2.869
67.34,94.527,2,-0.297,1.604,1.682,0,0,2.985
0,0,0,4.634,2.018,0.461,0,0,5.579
0,0,0,4.063,1.96,0.499,0,0,4.722
20.23,42.683,1,3.909,2.12,0.281,0,0,5.597
0,0,0,6.232,2.728,0.493,0,0,7.541
0,0,0,6.47,2.805,0.469,0,0,8.824
20.23,42.683,1,3.046,2.027,0.602,0,0,5.591
0,0,0,4.634,2.027,0.461,0,0,4.913
20.23,42.683,1,3.314,2.027,0.409,0,0,4.45
0,0,0,4.926,2.074,0.478,0,0,4.724
26.02,32.897,2,3.314,2.031,0.366,1,0,4.758
20.23,42.683,1,3.314,2.031,0.409,0,0,4.821
0,0,0,6.47,2.821,0.469,0,0,8.469
0,0,0,5.472,2.676,0.577,0,0,5.648
55.05,61.747,0,4.296,3.055,0.603,1,0,5.929
45.82,50.747,0,3.11,2.165,0.478,1,0,4.46
92.35,174.455,1,3.84,3.373,0.802,1,1,4.22
20.23,42.683,1,2.461,1.975,0.737,0,0,5.661
0,0,0,3.795,1.975,0.657,0,0,5.554
39.94,104.289,0,4.281,3.357,1.002,3,0,4.651
0,0,0,4.063,1.975,0.499,0,0,4.875
26.02,32.897,2,2.729,1.975,0.462,1,0,5.434
20.23,42.683,1,2.729,1.975,0.5,0,0,4.828
45.82,50.747,0,3.11,2.16,0.478,1,0,4.614
0,0,0,5.989,2.733,0.529,0,0,6.953
26.02,32.897,2,2.729,1.975,0.462,1,0,4.633
29.46,53.683,1,3.842,2.887,0.614,0,0,6.145
45.82,50.747,0,2.842,2.154,0.726,1,0,4.247
75.13,100.774,3,4.512,3.662,0.702,5,0,6.656
0,0,0,3.478,1.924,0.575,0,0,4.129
41.57,57.28,1,3.18,3.292,1.014,2,0,5.072
42.52,44.313,0,4.746,2.905,0.916,0,0,4.688
45.82,50.747,0,2.509,2.119,0.617,1,0,4.348
0,0,0,5.472,2.703,0.577,0,0,6.259
0,0,0,4.416,2.605,0.723,0,0,5.631
0,0,0,5.989,2.758,0.529,0,0,8.175
0,0,0,5.989,2.712,0.529,0,0,6.975
30.18,48.531,0,4.27,3.354,0.867,3,0,6.157
0,0,0,3.945,2.344,0.678,0,0,5.548
0,0,0,3.478,1.918,0.575,0,0,4.282
45.82,50.747,0,2.509,2.108,0.617,1,0,3.836
0,0,0,4.416,2.591,0.723,0,0,5.661
0,0,0,3.945,2.324,0.678,0,0,5.126
0,0,0,2.876,1.857,0.699,0,0,3.833
0,0,0,3.478,1.908,0.575,0,0,4.844
72.68,73.324,1,0.403,2.355,1.424,4,1,2.627
22,73.15,0,3.983,3.431,0.951,1,0,4.94
61.82,73.324,0,0.736,2.405,1.546,4,1,3.032
0,59.84,0,1.817,1.43,1.988,0,0,2.053
65.72,101.271,2,-0.234,1.975,1.091,2,1,3.717
74.57,132.193,2,1.671,3.501,1.095,3,1,3.711
43.24,59.409,0,4.396,3.542,0.91,3,0,4.589
39.72,65.971,1,3.289,3.767,1.129,1,0,5.655
64.16,92.47,0,3.613,4.245,1.175,4,2,4.82
59.32,78.204,0,4.832,4.074,0.962,1,2,8.65
59.32,123.084,0,4.217,4.111,0.994,1,2,8.662
59.32,78.204,0,4.794,3.99,0.645,1,2,9.927
59.32,78.204,0,3.907,3.934,0.908,1,2,9.105
114.19,100.652,3,0.821,3.06,1.082,6,1,2.477
75.39,67.204,0,2.981,2.784,1.072,1,2,6.484
98.18,62.119,0,0.796,1.84,0.743,2,2,6.262
59.32,93.164,0,4.279,3.962,0.907,1,2,9.163
59.32,78.204,0,4.115,3.934,0.76,1,2,10.03
36.26,60.144,0,3.3,3.469,1.102,2,1,4.982
49.57,64.63,0,-0.259,1.989,1.103,3,1,3.337
237.75,223.047,8,0.083,3.249,1.04,7,1,2.926
43.09,58.042,2,-0.38,1.401,1.151,1,1,2.637
166.75,250.102,6,1.632,5.369,1.145,6,4,4.267
48.02,61.166,2,2.589,2.919,0.826,2,0,4.14
43.09,58.042,2,2.481,2.133,0.506,1,1,2.282
84.13,65.794,4,-1.434,1.225,0.335,2,0,3.845
70.14,50.908,3,1.294,2.203,0.591,2,0,3.48
26.02,32.897,2,0.202,1.334,1.347,1,0,3.14
52.04,65.794,4,-1.053,1.334,1.61,2,0,3.324
68.01,92.593,3,-0.283,2.17,0.893,3,1,3.684
26.02,32.897,2,2.729,1.979,0.462,1,0,5.014
26.02,32.897,2,3.314,2.018,0.366,1,0,5.485
26.02,32.897,2,2.127,1.924,0.597,1,0,6.402
52.04,65.794,4,0.893,1.918,0.732,2,0,4.195
26.02,32.897,2,1.506,1.857,0.815,1,0,5.237
90.37,131.635,3,0.332,2.706,1.313,3,1,2.046
129.62,165.834,6,2.703,3.078,0.775,7,0,4.354
12.53,11,0,-0.564,1.5,1.733,0,0,2.279
12.53,11,0,1.533,2.274,1.026,0,0,3.955
74.92,138.783,1,3.16,2.827,1.14,2,1,5.307
26.3,81.025,0,5.4,3.936,0.991,0,1,8.086
58.2,116.232,2,3.508,3.281,0.803,2,1,7.911
41.13,61.166,2,3.988,3.169,0.627,2,0,7.498
17.07,25.145,0,4.912,2.659,0.491,0,0,6.374
34.14,50.29,0,1.415,2.074,1.108,0,0,5.07
34.14,50.29,0,2.233,2.415,0.866,0,0,5.565
58.2,86.311,2,3.652,3.557,1.237,2,2,4.342
37.3,67.828,1,3.696,3.117,1.149,0,0,5.172
73.22,61.166,2,-1.202,1.795,0.599,2,1,3.82
120.73,148.22,1,0.096,2.964,1.16,4,1,3.455
41.13,61.166,2,-1.095,1.726,1.463,2,0,1.189
182.83,315.561,5,1.662,5.831,1.351,0,1,3.89
203.06,358.244,6,0.957,5.839,1.345,0,1,4.569
34.14,50.29,0,0.076,1.84,1.493,0,0,3.843
20.31,28.269,0,-0.273,1.401,2.073,1,1,0.761
77.76,153.195,3,0.559,2.137,0.767,0,0,3.717
17.07,25.145,0,1.769,1.989,0.927,0,0,3.952
66.05,93.43,1,1.348,2.09,0.784,1,0,4.011
32.67,47.536,0,3.223,2.773,0.881,2,0,4.441
54.57,41.028,0,4.789,3.58,1.505,0,0,5.609
87.08,111.608,1,1.749,3.666,1.085,3,0,4.2
42.52,44.313,0,1.473,2.241,1.158,0,0,4.163
42.52,44.313,0,2.777,2.643,1.055,0,0,4.574
54.74,39.247,0,3.115,2.706,0.946,0,0,6.123
80.74,61.166,2,-0.31,1.918,0.578,2,1,4.27
30.21,36.145,0,2.265,2.344,0.923,0,1,4.092
60.13,76.448,0,2.288,2.848,1.591,4,0,3.167
38.77,22.156,0,2.779,2.639,0.859,0,0,3.997
118.65,210.6,1,3.773,3.759,0.95,1,2,4.486
54.37,92.973,1,3.374,3.061,0.91,0,1,3.609
37.3,67.828,1,4.548,3.101,1.137,0,1,4.567
115.14,206.609,3,-1.169,2.333,1.496,1,3,2.78
46.53,78.828,1,2.086,2.455,0.941,0,1,2.952
46.53,78.828,1,2.354,2.455,0.743,0,1,3.758
104.06,189.34,3,1.929,3.197,1.021,0,2,4.179
57.53,110.512,2,1.643,2.09,0.814,0,1,3.084
76.21,117.511,3,1.119,2.25,0.375,2,1,3.604
50.94,76.132,1,3.77,3.091,1.081,3,0,3.925
67.79,107.839,2,2.347,3.243,1.4,1,1,3.781
84.58,129.736,4,0.925,3.178,1.263,2,1,3.921
81.95,157.061,4,1.358,3.325,1.248,1,0,3.265
57.28,71.694,3,2.124,3.455,1.069,2,0,4.368
94.83,178.34,3,1.661,3.391,0.942,0,0,3.932
20.23,42.683,1,0.8,1.401,1.698,0,0,1.786
20.23,42.683,1,1.209,1.43,0.476,0,0,2.983
52.49,103.377,3,-0.917,1.84,1.75,1,0,2.98
40.46,85.367,2,-1.053,1.334,1.827,0,0,0.127
29.46,53.683,1,-0.081,1.678,1.952,0,0,1.03
38.69,64.683,1,-0.129,2.15,1.971,0,0,1.509
336.43,551.098,16,-5.199,4.3,1.373,7,0,3.078
115.38,179.269,3,1.228,3.039,0.787,2,1,3.001
347.32,571.952,18,-6.446,4.624,1.39,5,0,3.012
97.99,195.878,4,-1.204,2.214,1.066,0,1,3.13
138.45,281.245,6,1.442,3.878,1.205,0,0,5.3
20.23,42.683,1,2.461,1.975,0.737,0,0,4.863
20.23,42.683,1,2.296,1.924,0.521,0,0,4.449
20.23,42.683,1,2.127,1.924,0.633,0,0,4.434
66.05,93.43,1,1.348,2.119,0.784,1,0,4.063
20.23,42.683,1,3.127,2.605,0.797,0,0,4.684
40.46,85.367,2,3.635,3.12,1.03,0,0,4.905
20.23,42.683,1,2.637,2.344,0.758,0,0,4.531
20.23,42.683,1,1.506,1.857,0.853,0,0,3.924
20.23,42.683,1,2.127,1.908,0.633,0,0,4.235
20.23,42.683,1,3.127,2.57,0.797,0,0,5.356
56.15,36.022,2,-0.665,1.726,0.676,2,0,3.595
61.52,41.93,0,3.447,2.307,0.662,1,2,5.064
44.45,16.786,0,3.648,2.427,0.757,1,1,6.097
44.45,16.786,0,3.33,2.281,0.701,1,1,6.544
88.9,33.571,0,4.405,2.456,0.568,2,2,6.356
44.45,16.786,0,3.265,2.134,0.637,1,1,6.203
64.18,0,0,-0.049,1.155,1.5,0,1,4.62
50.93,0,0,0.552,2.485,1.147,3,0,2.576
79.93,16.786,1,1.769,2.239,0.793,1,0,4.546
118.06,85.367,4,-0.081,1.768,1.061,0,0,3.79
86.34,105.331,1,1.616,2.97,0.983,5,0,4.19
165.15,185.897,0,0.575,2.608,1.809,3,0,3.889
119.33,134.931,0,0.289,2.587,1.989,2,0,3.282
91.64,101.494,0,2.239,2.296,0.884,2,0,5.368
134.73,159.536,2,1.649,2.527,0.818,3,1,3.123
111.87,144.177,1,1.748,2.377,0.839,2,0,4.819
137.46,152.241,0,2.359,2.527,0.825,3,0,4.514
157.69,194.924,1,1.543,2.527,0.647,3,0,3.426
45.82,50.747,0,2.574,2.168,1.014,1,0,4.059
71.84,83.644,2,1.969,2.168,0.531,2,0,4.454
91.64,101.494,0,2.239,2.334,0.884,2,0,3.718
91.64,101.494,0,2.507,2.334,0.543,2,0,5.348
111.87,144.177,1,1.395,2.334,0.716,2,0,4.651
91.64,101.494,0,1.886,2.287,0.769,2,0,3.578
45.82,50.747,0,2.574,2.141,1.014,1,0,4.577
45.82,50.747,0,2.842,2.141,0.726,1,0,4.667
45.82,50.747,0,3.11,2.141,0.478,1,0,4.551
45.82,50.747,0,1.887,2.048,0.842,1,0,3.646
45.82,50.747,0,2.241,2.09,0.942,1,0,4.176
0,0,0,3.958,2.488,0.802,0,0,3.611
7.76,0,0,2.122,2.7,1.053,2,0,5.055
9.23,11,0,3.395,2.692,0.941,0,0,5.433
0,0,0,3.876,2.539,0.837,0,0,4.927
15.79,0,1,2.859,2.614,0.752,1,0,4.761
15.79,0,1,1.834,2.176,0.81,1,0,5.009
0,0,0,5.551,3.231,0.689,0,0,6.016
0,0,0,4.76,2.868,0.7,0,0,6.258
0,0,0,4.332,2.7,0.758,0,0,5.466
0,0,0,4.332,2.727,0.758,0,0,6.688
13.14,9.507,0,3.743,2.995,0.783,0,0,4.739
28.24,0,0,4.76,2.995,0.65,0,0,5.944
0,0,0,3.386,2.284,0.805,0,0,4.149
12.89,16.786,0,2.066,2.284,0.867,1,0,3.648
12.89,16.786,0,3.051,2.727,0.8,1,0,4.879
12.89,16.786,0,2.066,2.284,0.867,1,0,3.49
132.86,33.571,0,2.892,3.487,0.572,2,0,3.655
28.24,0,0,3.876,2.614,0.652,0,0,5.572
28.24,0,0,2.851,2.176,0.656,0,0,3.347
12.89,16.786,0,0.468,1.8,1.038,1,0,1.85
28.24,0,0,1.173,1.667,0.667,0,0,2.453
79.63,77.875,2,1.326,3.024,1.126,5,0,5.007
0,0,0,2.734,1.857,0.831,0,0,3.907
278.8,413.191,5,-0.321,6.439,1.557,11,11,4.8
0,0,0,3.374,2.075,1.204,0,0,3.799
17.07,25.145,0,0.094,1.334,1.328,0,0,5.975
23.79,31.059,0,-0.317,1.155,1.403,1,1,1.139
26.3,36.145,0,2.754,2.454,1.421,0,1,4.966
43.37,61.29,0,3.626,3.373,1.111,0,1,5.526
58.11,32.897,2,-0.317,1.225,0.575,1,1,3.697
40.46,85.367,2,0.706,1.689,1.594,0,0,1.158
29.46,53.683,1,1.629,2.353,1.2,0,0,2.661
38.33,54.156,1,2.378,2.587,1.055,1,0,4.79
45.34,34.106,0,1.297,2.042,1.933,0,0,2.84
40.46,85.367,2,3.956,3.123,0.959,0,0,5.329
0,0,0,3.477,1.857,1.429,0,0,4.847
17.07,25.145,0,1.442,1.84,1.58,0,0,3.984
0,0,0,4.203,1.997,1.625,0,0,5.375
0,0,0,4.823,2.299,1.6,0,0,5.281
52.6,72.29,0,6.338,4.16,1.402,0,2,6.205
56.15,36.022,2,1.971,2.472,1.144,2,0,3.54
54.57,41.028,0,3.234,2.901,1.984,0,0,4.971
102.78,20.263,0,3.322,2.901,0.874,0,0,7.633
47.36,56.055,0,3.373,3.471,0.992,3,0,4.922
94.88,104.618,0,4.066,3.016,1.314,3,0,7.028
45.61,28.269,0,3.092,2.814,0.948,1,0,5.554
20.31,28.269,0,2.821,2.502,1.283,1,1,3.146
121.26,6.249,0,1.761,2.66,0.779,2,0,5.885
70.14,50.908,3,-0.273,1.577,0.756,2,0,3.91
12.03,18.011,1,0.8,1.509,1.846,1,0,3.079
12.03,18.011,1,2.193,2.134,1.117,1,0,5.394
62.73,86.378,2,2.59,2.546,1.277,5,0,3.683
88.03,86.378,2,2.273,2.575,1.159,5,0,3.542
26.3,36.145,0,0.586,1.577,1.881,0,1,2.18
107.02,52.33,0,0.64,2.614,1.233,1,0,5.785
54.57,41.028,0,4.449,2.988,1.497,0,0,6.595
82.67,47.447,1,3.747,2.935,1.513,1,0,8.11
129.95,30.53,0,1.145,2.637,1.444,0,0,9.288
0,0,0,2.942,1.989,1.063,0,0,4.515
91.49,117.376,5,-0.329,1.868,1.621,5,0,1.957
3.24,3.124,0,4.761,3.273,1.052,1,0,5.565
44.45,16.786,0,1.157,1.334,0.685,1,1,5.407
